id,year,team,lg,g,ab,r,h,hr,sb,bb,so,avg
player00000,1992,LAD,NL,11,430,126,187,14,9,39,137,0.435
player00001,2005,LAD,NL,31,329,127,195,29,78,9,197,0.593
player00002,2000,ATL,AL,118,242,46,6,48,5,21,198,0.025
player00003,1996,NYY,NL,114,164,91,77,59,9,32,127,0.47
player00004,1993,LAD,NL,140,479,37,4,41,24,75,127,0.008
player00005,1992,NYY,AL,9,282,99,6,43,25,62,10,0.021
player00006,2004,HOU,NL,141,94,61,17,5,7,91,83,0.181
player00007,1996,NYY,AL,20,130,60,194,22,37,20,88,1.492
player00008,1996,LAD,AL,59,208,117,140,19,63,37,129,0.673
player00009,1989,NYY,NL,85,521,7,76,26,57,48,118,0.146
player00010,1993,BOS,AL,150,540,37,176,47,58,78,197,0.326
player00011,1988,ATL,AL,65,577,105,155,56,33,31,53,0.269
player00012,1987,CHC,AL,60,480,35,15,3,31,69,122,0.031
player00013,1997,LAD,AL,125,523,55,82,26,43,32,66,0.157
player00014,1991,HOU,NL,41,524,44,23,59,10,82,109,0.044
player00015,1987,CHC,NL,81,363,49,52,41,75,97,65,0.143
player00016,1986,ATL,AL,4,422,19,168,44,32,29,4,0.398
player00017,1997,BOS,NL,70,212,101,16,4,2,26,132,0.075
player00018,1997,BOS,AL,83,168,106,116,16,25,25,2,0.69
player00019,2002,BOS,NL,94,207,91,186,20,22,55,190,0.899
player00020,1995,BOS,NL,151,426,31,145,34,56,86,162,0.34
player00021,2001,LAD,AL,160,573,42,7,34,37,62,161,0.012
player00022,2000,LAD,AL,63,520,78,33,54,68,58,129,0.063
player00023,2000,NYY,AL,8,18,140,191,34,65,27,191,10.611
player00024,2004,HOU,AL,120,485,1,88,51,23,3,49,0.181
player00025,1997,NYY,NL,85,86,141,175,19,47,74,172,2.035
player00026,2005,HOU,AL,91,529,142,197,34,52,20,40,0.372
player00027,1988,ATL,NL,153,236,92,89,31,47,72,150,0.377
player00028,1990,NYY,NL,161,173,121,168,45,34,11,141,0.971
player00029,2004,ATL,AL,116,103,137,17,7,26,0,150,0.165
player00030,1992,ATL,NL,106,236,116,28,25,18,52,71,0.119
player00031,1994,ATL,AL,144,560,104,98,0,66,55,116,0.175
player00032,1992,BOS,AL,72,101,57,35,58,77,11,12,0.347
player00033,2003,CHC,NL,80,585,98,26,24,52,86,78,0.044
player00034,1989,CHC,AL,7,170,117,103,4,55,69,70,0.606
player00035,1999,LAD,AL,69,137,107,63,25,5,95,163,0.46
player00036,2003,ATL,AL,87,596,61,6,35,24,53,194,0.01
player00037,1994,BOS,NL,8,37,56,177,6,28,27,160,4.784
player00038,1987,NYY,NL,131,390,131,153,39,24,73,63,0.392
player00039,2005,NYY,AL,114,416,77,110,26,1,79,23,0.264
player00040,2000,LAD,AL,36,23,103,110,7,44,83,13,4.783
player00041,1992,LAD,NL,100,431,95,7,21,61,55,72,0.016
player00042,1997,ATL,NL,79,286,122,164,7,34,85,124,0.573
player00043,1993,ATL,AL,30,81,31,145,25,68,41,12,1.79
player00044,2000,NYY,NL,15,254,77,171,32,32,60,7,0.673
player00045,1988,NYY,AL,87,534,39,114,42,26,23,28,0.213
player00046,1999,NYY,AL,58,326,34,156,19,17,93,53,0.479
player00047,2002,NYY,AL,156,497,14,180,43,68,77,190,0.362
player00048,1989,CHC,NL,97,583,50,28,7,71,89,33,0.048
player00049,2003,ATL,NL,146,398,19,120,54,40,71,23,0.302
player00050,1993,ATL,NL,133,549,36,36,50,18,25,179,0.066
player00051,1989,NYY,AL,137,155,37,15,50,10,46,100,0.097
player00052,1987,BOS,NL,102,126,148,2,1,15,21,104,0.016
player00053,1991,NYY,NL,115,276,9,22,43,17,47,138,0.08
player00054,1995,HOU,AL,137,26,99,55,46,33,39,163,2.115
player00055,1989,LAD,NL,18,567,136,11,24,60,11,119,0.019
player00056,2003,HOU,AL,143,20,100,32,3,75,63,197,1.6
player00057,1997,BOS,AL,78,525,143,162,2,11,8,196,0.309
player00058,1987,LAD,NL,62,240,106,40,54,25,93,54,0.167
player00059,1995,BOS,NL,40,106,23,141,40,72,36,89,1.33
player00060,1989,LAD,AL,124,581,3,48,50,29,17,164,0.083
player00061,1999,NYY,NL,60,539,117,111,19,62,39,52,0.206
player00062,2001,NYY,NL,56,220,41,49,17,53,34,115,0.223
player00063,2000,BOS,NL,84,66,119,25,24,10,19,184,0.379
player00064,1993,LAD,AL,41,241,91,43,49,74,60,188,0.178
player00065,1999,CHC,AL,17,523,116,196,7,31,11,180,0.375
player00066,1993,BOS,NL,105,395,18,114,38,57,60,113,0.289
player00067,2001,BOS,AL,25,202,147,150,13,43,58,126,0.743
player00068,1998,HOU,NL,126,219,105,145,6,47,43,113,0.662
player00069,2003,ATL,NL,93,418,23,138,7,58,36,77,0.33
player00070,2000,BOS,NL,137,225,1,71,36,14,38,97,0.316
player00071,1998,CHC,NL,151,213,6,62,53,45,54,29,0.291
player00072,1994,NYY,AL,118,358,123,133,53,1,29,118,0.372
player00073,2000,LAD,NL,2,500,0,172,7,48,66,121,0.344
player00074,1998,ATL,AL,45,470,138,123,40,4,71,162,0.262
player00075,1986,LAD,AL,119,18,29,14,19,24,52,77,0.778
player00076,1992,NYY,NL,134,350,76,66,45,47,41,97,0.189
player00077,1994,BOS,NL,7,314,17,140,31,74,27,184,0.446
player00078,1986,HOU,AL,66,213,16,122,25,48,54,64,0.573
player00079,1997,CHC,NL,158,491,45,16,37,52,64,50,0.033
player00080,1993,ATL,NL,76,221,111,89,14,64,80,7,0.403
player00081,1996,CHC,AL,52,268,18,112,31,37,14,37,0.418
player00082,2004,CHC,AL,94,83,11,107,46,49,80,32,1.289
player00083,2002,CHC,AL,36,43,81,98,47,2,11,90,2.279
player00084,1993,CHC,NL,35,587,139,69,9,3,60,186,0.118
player00085,1988,NYY,NL,66,160,49,102,11,67,18,193,0.638
